"zip","population","city","county"
"48075",23416,"Southfield","Oakland County"
"48864",23359,"Okemos","Ingham County"
"48176",23240,"Saline","Washtenaw County"
"48346",23212,"Clarkston","Oakland County"
"49534",23008,"Grand Rapids","Ottawa County"
"48503",22891,"Flint","Genesee County"
"48167",22830,"Northville","Oakland County"
"48473",22586,"Swartz Creek","Genesee County"
"48442",22416,"Holly","Oakland County"
"49601",22300,"Cadillac","Wexford County"
"48331",22152,"Farmington","Oakland County"
"48125",22082,"Dearborn Heights","Wayne County"
"48080",22072,"Saint Clair Shores","Macomb County"
"48846",22038,"Ionia","Ionia County"
"49707",22009,"Alpena","Alpena County"
"48009",21738,"Birmingham","Oakland County"
"48220",21664,"Ferndale","Oakland County"
"49445",21611,"Muskegon","Muskegon County"
"48314",21587,"Sterling Heights","Macomb County"
"48114",21573,"Brighton","Livingston County"
"48036",21499,"Clinton Township","Macomb County"
"48182",21391,"Temperance","Monroe County"
"48213",21232,"Detroit","Wayne County"
"48169",21210,"Pinckney","Livingston County"
"48842",21194,"Holt","Ingham County"
"49684",21171,"Traverse City","Leelanau County"
"49685",21120,"Traverse City","Grand Traverse County"
"49014",21118,"Battle Creek","Calhoun County"
"48420",21019,"Clio","Genesee County"
"48327",20878,"Waterford","Oakland County"
"49037",20687,"Battle Creek","Calhoun County"
"48203",20584,"Highland Park","Wayne County"
"48207",20577,"Detroit","Wayne County"
"49735",20570,"Gaylord","Otsego County"
"48098",20545,"Troy","Oakland County"
"48532",20531,"Flint","Genesee County"
"48081",20474,"Saint Clair Shores","Macomb County"
"48204",20365,"Detroit","Wayne County"
"48094",20310,"Washington","Macomb County"
"49017",20179,"Battle Creek","Calhoun County"
"48813",20165,"Charlotte","Eaton County"
"49301",20092,"Ada","Kent County"
"49001",20087,"Kalamazoo","Kalamazoo County"
"48393",19975,"Wixom","Oakland County"
"49002",19975,"Portage","Kalamazoo County"
"48837",19913,"Grand Ledge","Eaton County"
"49091",19831,"Sturgis","St. Joseph County"
"49456",19568,"Spring Lake","Ottawa County"
"48854",19502,"Mason","Ingham County"
"48214",19372,"Detroit","Wayne County"
"48341",19236,"Pontiac","Oakland County"
"49058",19153,"Hastings","Barry County"
"49512",19141,"Grand Rapids","Kent County"
"48458",19109,"Mount Morris","Genesee County"
"48377",19083,"Novi","Oakland County"
"49783",18905,"Sault Sainte Marie","Chippewa County"
"48334",18814,"Farmington","Oakland County"
"49319",18658,"Cedar Springs","Kent County"
"48879",18607,"Saint Johns","Clinton County"
"49010",18457,"Allegan","Allegan County"
"49093",18445,"Three Rivers","St. Joseph County"
"49202",18234,"Jackson","Jackson County"
"49307",18169,"Big Rapids","Mecosta County"
"48374",18125,"Novi","Oakland County"
"48820",18046,"Dewitt","Clinton County"
"48386",18043,"White Lake","Oakland County"
"48838",18043,"Greenville","Montcalm County"
"49004",17870,"Kalamazoo","Kalamazoo County"
"48184",17860,"Wayne","Wayne County"
"48505",17809,"Flint","Genesee County"
"49770",17555,"Petoskey","Emmet County"
"48051",17542,"New Baltimore","Macomb County"
"49331",17522,"Lowell","Kent County"
"48230",17501,"Grosse Pointe","Wayne County"
"48304",17425,"Bloomfield Hills","Oakland County"
"48033",17380,"Southfield","Oakland County"
"48324",17366,"West Bloomfield","Oakland County"
"48302",17175,"Bloomfield Hills","Oakland County"
"49431",17121,"Ludington","Mason County"
"48240",16914,"Redford","Wayne County"
"49829",16869,"Escanaba","Delta County"
"48342",16858,"Pontiac","Oakland County"
"48193",16786,"Riverview","Wayne County"
"48323",16742,"West Bloomfield","Oakland County"
"48130",16731,"Dexter","Washtenaw County"
"48624",16480,"Gladwin","Gladwin County"
"48912",16378,"Lansing","Ingham County"
"48855",16367,"Howell","Livingston County"
"48225",16228,"Harper Woods","Wayne County"
"49008",16114,"Kalamazoo","Kalamazoo County"
"48082",16043,"Saint Clair Shores","Macomb County"
"48206",16011,"Detroit","Wayne County"
"48827",15999,"Eaton Rapids","Eaton County"
"49321",15740,"Comstock Park","Kent County"
"48043",15679,"Mount Clemens","Macomb County"
"48084",15571,"Troy","Oakland County"
"49080",15516,"Plainwell","Allegan County"
"48451",15416,"Linden","Genesee County"
"48059",15314,"Fort Gratiot","St. Clair County"
"48072",15150,"Berkley","Oakland County"
"49068",15147,"Marshall","Calhoun County"
"48034",15146,"Southfield","Oakland County"
"48623",15098,"Freeland","Saginaw County"
"48030",15065,"Hazel Park","Oakland County"
"48362",15053,"Lake Orion","Oakland County"
"48025",14813,"Franklin","Oakland County"
"48301",14806,"Bloomfield Hills","Oakland County"
"48836",14779,"Fowlerville","Livingston County"
"49660",14739,"Manistee","Manistee County"
"49242",14718,"Hillsdale","Hillsdale County"
"48026",14668,"Fraser","Macomb County"
"49286",14624,"Tecumseh","Lenawee County"
"48202",14617,"Detroit","Wayne County"
"49047",14350,"Dowagiac","Cass County"
"48201",14287,"Detroit","Wayne County"
"48160",14163,"Milan","Monroe County"
"49721",14034,"Cheboygan","Cheboygan County"
"48189",13718,"Whitmore Lake","Washtenaw County"
"49090",13714,"South Haven","Van Buren County"
"48801",13621,"Alma","Gratiot County"
"48381",13573,"Milford","Oakland County"
"49079",13469,"Paw Paw","Van Buren County"
"49224",13280,"Albion","Calhoun County"
"49348",13280,"Wayland","Allegan County"
"48166",13264,"Newport","Monroe County"
"49337",13155,"Newaygo","Newaygo County"
"49345",13155,"Sparta","Kent County"
"48173",13146,"Rockwood","Wayne County"
"48383",13093,"White Lake","Oakland County"
"48118",13001,"Chelsea","Washtenaw County"
"48625",12962,"Harrison","Clare County"
"49333",12928,"Middleville","Barry County"
"48462",12803,"Ortonville","Oakland County"
"48122",12639,"Melvindale","Wayne County"
"48840",12611,"Haslett","Ingham County"
"48079",12572,"Saint Clair","St. Clair County"
"48128",12405,"Dearborn","Wayne County"
"48723",12389,"Caro","Tuscola County"
"48609",12339,"Saginaw","Saginaw County"
"49412",12180,"Fremont","Newaygo County"
"48638",12157,"Saginaw","Saginaw County"
"48360",12103,"Lake Orion","Oakland County"
"49849",12069,"Ishpeming","Marquette County"
"49858",11911,"Menominee","Menominee County"
"48604",11793,"Saginaw","Saginaw County"
"48001",11691,"Algonac","St. Clair County"
"49801",11504,"Iron Mountain","Dickinson County"
"49071",11477,"Mattawan","Van Buren County"
"49097",11448,"Vicksburg","Kalamazoo County"
"48017",11334,"Clawson","Oakland County"
"48895",11331,"Williamston","Ingham County"
"48065",11313,"Romeo","Macomb County"
"49127",11223,"Stevensville","Berrien County"
"48732",11204,"Essexville","Bay County"
"49103",11136,"Berrien Springs","Berrien County"
"49457",11119,"Twin Lake","Muskegon County"
"48809",11112,"Belding","Ionia County"
"48215",11018,"Detroit","Wayne County"
"48875",10899,"Portland","Ionia County"
"48825",10855,"East Lansing","Ingham County"
"49323",10852,"Dorr","Allegan County"
"49306",10847,"Belmont","Kent County"
"48048",10765,"New Haven","Macomb County"
"48138",10695,"Grosse Ile","Wayne County"
"49408",10582,"Fennville","Allegan County"
"49007",10565,"Kalamazoo","Kalamazoo County"
"48661",10538,"West Branch","Ogemaw County"
"49107",10534,"Buchanan","Berrien County"
"49078",10464,"Otsego","Allegan County"
"49696",10353,"Traverse City","Grand Traverse County"
"49112",10299,"Edwardsburg","Cass County"
"49931",10282,"Houghton","Houghton County"
"48117",10258,"Carleton","Monroe County"
"48359",10149,"Lake Orion","Oakland County"
"49230",10089,"Brooklyn","Jackson County"
"48880",10026,"Saint Louis","Gratiot County"
"48915",10022,"Lansing","Ingham County"
"49544",9977,"Grand Rapids","Kent County"
"48040",9973,"Marysville","St. Clair County"
"49837",9899,"Gladstone","Delta County"
"48653",9885,"Roscommon","Roscommon County"
"48144",9672,"Lambertville","Monroe County"
"48074",9594,"Smiths Creek","St. Clair County"
"49302",9582,"Alto","Kent County"
"49738",9567,"Grayling","Crawford County"
"48617",9526,"Clare","Clare County"
"48444",9525,"Imlay City","Lapeer County"
"49240",9379,"Grass Lake","Jackson County"
"49461",9362,"Whitehall","Muskegon County"
"48509",9354,"Burton","Genesee County"
"48062",9351,"Richmond","Macomb County"
"48229",9288,"Ecorse","Wayne County"
"48164",9172,"New Boston","Wayne County"
"48165",9128,"New Hudson","Oakland County"
"48768",9111,"Vassar","Tuscola County"
"49720",9109,"Charlevoix","Charlevoix County"
"49329",9056,"Howard City","Montcalm County"
"48750",9024,"Oscoda","Iosco County"
"48415",9013,"Birch Run","Saginaw County"
"49460",8987,"West Olive","Ottawa County"
"48120",8919,"Dearborn","Wayne County"
"49404",8917,"Coopersville","Ottawa County"
"48457",8876,"Montrose","Genesee County"
"49327",8712,"Grant","Newaygo County"
"48519",8577,"Burton","Genesee County"
"49038",8577,"Coloma","Berrien County"
"49646",8561,"Kalkaska","Kalkaska County"
"48015",8493,"Center Line","Macomb County"
"49419",8483,"Hamilton","Allegan County"
"48429",8428,"Durand","Shiawassee County"
"48612",8382,"Beaverton","Gladwin County"
"48357",8342,"Highland","Oakland County"
"49031",8316,"Cassopolis","Cass County"
"49712",8250,"Boyne City","Charlevoix County"
"49866",8233,"Negaunee","Marquette County"
"48529",8164,"Burton","Genesee County"
"48356",8158,"Highland","Oakland County"
"48746",8090,"Millington","Tuscola County"
"48131",7978,"Dundee","Monroe County"
"48455",7953,"Metamora","Lapeer County"
"48461",7889,"North Branch","Lapeer County"
"48158",7883,"Manchester","Washtenaw County"
"48208",7827,"Detroit","Wayne County"
"48350",7795,"Davisburg","Oakland County"
"49083",7780,"Richland","Kalamazoo County"
"48380",7750,"Milford","Oakland County"
"48848",7705,"Laingsburg","Shiawassee County"
"48629",7691,"Houghton Lake","Roscommon County"
"49349",7672,"White Cloud","Newaygo County"
"49651",7647,"Lake City","Missaukee County"
"49938",7636,"Ironwood","Gogebic County"
"49053",7559,"Galesburg","Kalamazoo County"
"48363",7517,"Oakland","Oakland County"
"48438",7511,"Goodrich","Genesee County"
"48657",7506,"Sanford","Midland County"
"48039",7486,"Marine City","St. Clair County"
"48616",7486,"Chesaning","Saginaw County"
"49643",7483,"Interlochen","Benzie County"
"49740",7451,"Harbor Springs","Emmet County"
"48413",7445,"Bad Axe","Huron County"
"48734",7425,"Frankenmuth","Saginaw County"
"48811",7425,"Carson City","Montcalm County"
"49677",7351,"Reed City","Osceola County"
"49065",7268,"Lawton","Van Buren County"
"49930",7266,"Hancock","Houghton County"
"49913",7238,"Calumet","Houghton County"
"48054",7204,"East China","St. Clair County"
"48218",7204,"River Rouge","Wayne County"
"49046",7202,"Delton","Barry County"
"49649",7184,"Kingsley","Grand Traverse County"
"49659",7131,"Mancelona","Antrim County"
"49841",7093,"Gwinn","Marquette County"
"48353",7086,"Hartland","Livingston County"
"48226",6926,"Detroit","Wayne County"
"49727",6731,"East Jordan","Antrim County"
"48133",6711,"Erie","Monroe County"
"48883",6692,"Shepherd","Isabella County"
"48217",6660,"Detroit","Wayne County"
"48421",6592,"Columbiaville","Lapeer County"
"49690",6558,"Williamsburg","Grand Traverse County"
"49415",6529,"Fruitport","Muskegon County"
"48808",6519,"Bath","Clinton County"
"49437",6515,"Montague","Muskegon County"
"48650",6462,"Pinconning","Bay County"
"49251",6445,"Leslie","Ingham County"
"49057",6393,"Hartford","Van Buren County"
"49451",6386,"Ravenna","Muskegon County"
"48070",6365,"Huntington Woods","Oakland County"
"49021",6339,"Bellevue","Eaton County"
"48872",6241,"Perry","Shiawassee County"
"49082",6207,"Quincy","Branch County"
"49055",6195,"Gobles","Van Buren County"
"49854",6172,"Manistique","Schoolcraft County"
"49087",6168,"Schoolcraft","Kalamazoo County"
"49420",6145,"Hart","Oceana County"
"48611",6135,"Auburn","Bay County"
"48821",6127,"Dimondale","Eaton County"
"49285",6106,"Stockbridge","Ingham County"
"49343",6062,"Sand Lake","Kent County"
"49663",6045,"Manton","Wexford County"
"49802",6034,"Kingsford","Dickinson County"
"48422",6005,"Croswell","Sanilac County"
"48622",5996,"Farwell","Clare County"
"49935",5943,"Iron River","Iron County"
"49098",5929,"Watervliet","Berrien County"
"48626",5899,"Hemlock","Saginaw County"
"48003",5860,"Almont","Lapeer County"
"49250",5825,"Jonesville","Hillsdale County"
"49421",5823,"Hesperia","Oceana County"
"48888",5792,"Stanton","Montcalm County"
"48849",5789,"Lake Odessa","Ionia County"
"48109",5773,"Ann Arbor","Washtenaw County"
"48655",5773,"Saint Charles","Saginaw County"
"48726",5733,"Cass City","Tuscola County"
"49028",5733,"Bronson","Branch County"
"49099",5724,"White Pigeon","St. Joseph County"
"48412",5720,"Attica","Lapeer County"
"48095",5704,"Washington","Macomb County"
"49330",5681,"Kent City","Kent County"
"49269",5643,"Parma","Jackson County"
"49270",5634,"Petersburg","Monroe County"
"48471",5613,"Sandusky","Sanilac County"
"48847",5599,"Ithaca","Gratiot County"
"48817",5586,"Corunna","Shiawassee County"
"48428",5556,"Dryden","Lapeer County"
"48211",5526,"Detroit","Wayne County"
"48881",5521,"Saranac","Ionia County"
"49631",5520,"Evart","Osceola County"
"48049",5509,"North Street","St. Clair County"
"49045",5434,"Decatur","Van Buren County"
"49247",5427,"Hudson","Lenawee County"
"49228",5381,"Blissfield","Lenawee County"
"48097",5333,"Yale","St. Clair County"
"48005",5317,"Armada","Macomb County"
"48416",5291,"Brown City","Sanilac County"
"48893",5274,"Weidman","Isabella County"
"48216",5171,"Detroit","Wayne County"
"49455",5149,"Shelby","Oceana County"
"49106",5135,"Bridgman","Berrien County"
"49265",5129,"Onsted","Lenawee County"
"49236",5036,"Clinton","Lenawee County"
"49073",5035,"Nashville","Barry County"
"49013",5030,"Bangor","Van Buren County"
"48632",5028,"Lake","Clare County"
"48884",5009,"Sheridan","Montcalm County"
"48023",4993,"Fair Haven","St. Clair County"
"48453",4991,"Marlette","Sanilac County"
"49346",4984,"Stanwood","Mecosta County"
"48763",4943,"Tawas City","Iosco County"
"48618",4912,"Coleman","Midland County"
"49706",4857,"Alanson","Emmet County"
"48658",4803,"Standish","Arenac County"
"49454",4783,"Scottville","Mason County"
"49042",4747,"Constantine","St. Joseph County"
"48892",4740,"Webberville","Ingham County"
"48850",4657,"Lakeview","Montcalm County"
"49779",4626,"Rogers City","Presque Isle County"
"49304",4614,"Baldwin","Lake County"
"48634",4613,"Linwood","Bay County"
"48876",4602,"Potterville","Eaton County"
"48730",4586,"East Tawas","Iosco County"
"49682",4543,"Suttons Bay","Leelanau County"
"49749",4527,"Indian River","Cheboygan County"
"49862",4524,"Munising","Alger County"
"49765",4505,"Onaway","Presque Isle County"
"48450",4503,"Lexington","Sanilac County"
"48367",4482,"Leonard","Oakland County"
"49245",4445,"Homer","Calhoun County"
"48463",4440,"Otisville","Genesee County"
"48041",4415,"Memphis","St. Clair County"
"48418",4408,"Byron","Shiawassee County"
"49448",4405,"Nunica","Ottawa County"
"49868",4401,"Newberry","Luce County"
"49283",4398,"Spring Arbor","Jackson County"
"48651",4369,"Prudenville","Roscommon County"
"48137",4361,"Gregory","Livingston County"
"49336",4360,"Morley","Mecosta County"
"48866",4357,"Ovid","Clinton County"
"48014",4334,"Capac","St. Clair County"
"48320",4329,"Keego Harbor","Oakland County"
"48744",4326,"Mayville","Tuscola County"
"49788",4309,"Kincheloe","Chippewa County"
"48647",4256,"Mio","Oscoda County"
"49920",4207,"Crystal Falls","Iron County"
"48436",4139,"Gaines","Genesee County"
"49076",4112,"Olivet","Eaton County"
"49665",4108,"Marion","Osceola County"
"48063",4093,"Columbus","St. Clair County"
"48191",4059,"Willis","Washtenaw County"
"49267",4024,"Ottawa Lake","Monroe County"
"48064",4001,"Casco","St. Clair County"
"49435",3983,"Marne","Ottawa County"
"48441",3979,"Harbor Beach","Huron County"
"49328",3962,"Hopkins","Allegan County"
"48756",3956,"Prescott","Ogemaw County"
"49615",3946,"Bellaire","Antrim County"
"48006",3945,"Avoca","St. Clair County"
"49067",3938,"Marcellus","Cass County"
"48631",3924,"Kawkawlin","Bay County"
"49344",3896,"Shelbyville","Allegan County"
"49946",3868,"Lanse","Baraga County"
"49756",3805,"Lewiston","Oscoda County"
"49254",3803,"Michigan Center","Jackson County"
"49088",3794,"Scotts","Kalamazoo County"
"49246",3786,"Horton","Jackson County"
"48656",3785,"Saint Helen","Roscommon County"
"48096",3780,"Ray","Macomb County"
"49326",3767,"Gowen","Kent County"
"49056",3751,"Grand Junction","Van Buren County"
"49621",3749,"Cedar","Leelanau County"
"49064",3744,"Lawrence","Van Buren County"
"49657",3743,"McBain","Missaukee County"
"49274",3727,"Reading","Hillsdale County"
"48757",3713,"Reese","Tuscola County"
"49012",3705,"Augusta","Kalamazoo County"
"49256",3694,"Morenci","Lenawee County"
"49094",3682,"Union City","Branch County"
"49781",3628,"Saint Ignace","Mackinac County"
"48179",3613,"South Rockwood","Monroe County"
"49637",3605,"Grawn","Grand Traverse County"
"48739",3592,"Hale","Iosco County"
"49746",3543,"Hillman","Montmorency County"
"49425",3510,"Holton","Muskegon County"
"49870",3510,"Norway","Dickinson County"
"48759",3506,"Sebewaing","Huron County"
"48857",3489,"Morrice","Shiawassee County"
"49650",3459,"Lake Ann","Benzie County"
"49676",3459,"Rapid City","Kalkaska County"
"49040",3436,"Colon","St. Joseph County"
"48829",3434,"Edmore","Montcalm County"
"49715",3424,"Brimley","Chippewa County"
"49128",3422,"Three Oaks","Berrien County"
"48140",3414,"Ida","Monroe County"
"49332",3405,"Mecosta","Mecosta County"
"49111",3397,"Eau Claire","Berrien County"
"49117",3390,"New Buffalo","Berrien County"
"49229",3378,"Britton","Lenawee County"
"49668",3370,"Mesick","Wexford County"
"49709",3361,"Atlanta","Montmorency County"
"49249",3350,"Jerome","Hillsdale County"
"49266",3338,"Osseo","Hillsdale County"
"49655",3333,"Leroy","Osceola County"
"49635",3328,"Frankfort","Benzie County"
"48831",3307,"Elsie","Clinton County"
"48610",3270,"Alger","Gladwin County"
"48722",3264,"Bridgeport","Saginaw County"
"49032",3232,"Centreville","St. Joseph County"
"49633",3208,"Fife Lake","Kalkaska County"
"49878",3204,"Rapid River","Delta County"
"48027",3187,"Goodells","St. Clair County"
"49617",3166,"Beulah","Benzie County"
"48002",3121,"Allenton","St. Clair County"
"48637",3104,"Merrill","Saginaw County"
"49908",3104,"Baraga","Baraga County"
"49237",3080,"Concord","Jackson County"
"49807",3072,"Bark River","Delta County"
"49450",3062,"Pullman","Allegan County"
"48933",3056,"Lansing","Ingham County"
"49614",3029,"Bear Lake","Manistee County"
"49916",2980,"Chassell","Houghton County"
"49096",2976,"Vermontville","Eaton County"
"48449",2972,"Lennon","Shiawassee County"
"49051",2970,"East Leroy","Calhoun County"
"48703",2964,"Au Gres","Arenac County"
"49310",2952,"Blanchard","Isabella County"
"49277",2913,"Rives Junction","Jackson County"
"48427",2899,"Deckerville","Sanilac County"
"49101",2897,"Baroda","Berrien County"
"49233",2889,"Cement City","Jackson County"
"48891",2864,"Vestaburg","Montcalm County"
"48414",2837,"Bancroft","Shiawassee County"
"48755",2825,"Pigeon","Huron County"
"48145",2817,"La Salle","Monroe County"
"48615",2817,"Breckenridge","Gratiot County"
"49945",2816,"Lake Linden","Houghton County"
"49620",2813,"Buckley","Grand Traverse County"
"49220",2795,"Addison","Lenawee County"
"49911",2769,"Bessemer","Gogebic County"
"49284",2764,"Springport","Jackson County"
"49887",2758,"Stephenson","Menominee County"
"49072",2753,"Mendon","St. Joseph County"
"49453",2746,"Saugatuck","Allegan County"
"49232",2742,"Camden","Hillsdale County"
"49449",2703,"Pentwater","Oceana County"
"48460",2689,"New Lothrop","Shiawassee County"
"49259",2684,"Munith","Jackson County"
"49253",2676,"Manitou Beach","Lenawee County"
"48659",2643,"Sterling","Arenac County"
"48475",2613,"Ubly","Sanilac County"
"48069",2609,"Pleasant Ridge","Oakland County"
"49060",2604,"Hickory Corners","Barry County"
"49403",2604,"Conklin","Ottawa County"
"48159",2590,"Maybee","Monroe County"
"48435",2589,"Fostoria","Tuscola County"
"48835",2580,"Fowler","Clinton County"
