"zip","population","city","county"
"60607",28797,"Chicago","Cook County"
"60646",28770,"Chicago","Cook County"
"60516",28617,"Downers Grove","DuPage County"
"60914",28443,"Bourbonnais","Kankakee County"
"61614",28399,"Peoria","Peoria County"
"60510",28393,"Batavia","Kane County"
"61604",28220,"Peoria","Peoria County"
"60544",28073,"Plainfield","Will County"
"60655",28000,"Chicago","Cook County"
"61801",27965,"Urbana","Champaign County"
"61822",27929,"Champaign","Champaign County"
"60015",27835,"Deerfield","Lake County"
"60087",27815,"Waukegan","Lake County"
"60061",27602,"Vernon Hills","Lake County"
"60091",27591,"Wilmette","Cook County"
"60431",27357,"Joliet","Will County"
"62959",27255,"Marion","Williamson County"
"60621",26997,"Chicago","Cook County"
"60452",26939,"Oak Forest","Cook County"
"60560",26932,"Yorkville","Kendall County"
"61109",26382,"Rockford","Winnebago County"
"60013",26266,"Cary","McHenry County"
"60487",26198,"Tinley Park","Cook County"
"60175",25957,"Saint Charles","Kane County"
"60827",25538,"Riverdale","Cook County"
"60160",25177,"Melrose Park","Cook County"
"60467",25161,"Orland Park","Cook County"
"60406",24959,"Blue Island","Cook County"
"60053",24910,"Morton Grove","Cook County"
"60585",24754,"Plainfield","Will County"
"61571",24712,"Washington","Tazewell County"
"60439",24670,"Lemont","Cook County"
"62650",24627,"Jacksonville","Morgan County"
"60448",24626,"Mokena","Will County"
"60559",24411,"Westmont","DuPage County"
"60002",24398,"Antioch","Lake County"
"61350",24385,"Ottawa","LaSalle County"
"60706",24233,"Harwood Heights","Cook County"
"60124",24172,"Elgin","Kane County"
"60172",24016,"Roselle","DuPage County"
"60177",23931,"South Elgin","Kane County"
"60108",23647,"Bloomingdale","DuPage County"
"60051",23598,"Mchenry","McHenry County"
"60654",23475,"Chicago","Cook County"
"61611",23447,"East Peoria","Tazewell County"
"61103",23441,"Rockford","Winnebago County"
"60153",23385,"Maywood","Cook County"
"62864",23253,"Mount Vernon","Jefferson County"
"61244",23239,"East Moline","Rock Island County"
"60426",23213,"Harvey","Cook County"
"62901",23178,"Carbondale","Jackson County"
"61615",23167,"Peoria","Peoria County"
"60502",23056,"Aurora","DuPage County"
"60561",22997,"Darien","DuPage County"
"60008",22863,"Rolling Meadows","Cook County"
"60491",22779,"Homer Glen","Will County"
"61111",22756,"Loves Park","Winnebago County"
"61021",22593,"Dixon","Lee County"
"61115",22542,"Machesney Park","Winnebago County"
"60490",22343,"Bolingbrook","Will County"
"60803",22198,"Alsip","Cook County"
"60178",21996,"Sycamore","DeKalb County"
"60473",21695,"South Holland","Cook County"
"60642",21444,"Chicago","Cook County"
"60164",21371,"Melrose Park","Cook County"
"60140",21287,"Hampshire","Kane County"
"60419",21283,"Dolton","Cook County"
"60466",21243,"Park Forest","Cook County"
"60045",21159,"Lake Forest","Lake County"
"61081",21138,"Sterling","Whiteside County"
"61938",20965,"Mattoon","Coles County"
"61920",20923,"Charleston","Coles County"
"60443",20735,"Matteson","Cook County"
"60450",20729,"Morris","Grundy County"
"61073",20567,"Roscoe","Winnebago County"
"60432",20483,"Joliet","Will County"
"61101",20481,"Rockford","Winnebago County"
"60430",20430,"Homewood","Cook County"
"60106",20321,"Bensenville","DuPage County"
"60194",20312,"Schaumburg","Cook County"
"60093",20272,"Winnetka","Cook County"
"62801",19976,"Centralia","Marion County"
"60805",19730,"Evergreen Park","Cook County"
"61802",19722,"Urbana","Champaign County"
"60404",19668,"Shorewood","Will County"
"62305",19473,"Quincy","Adams County"
"60513",19366,"Brookfield","Cook County"
"62220",19277,"Belleville","St. Clair County"
"62401",19240,"Effingham","Effingham County"
"60104",18621,"Bellwood","Cook County"
