"zip","population","city","county"
"33706",15433,"Saint Petersburg","Pinellas County"
"32615",15295,"Alachua","Alachua County"
"34224",15263,"Englewood","Charlotte County"
"33708",15222,"Saint Petersburg","Pinellas County"
"33972",15218,"Lehigh Acres","Lee County"
"32922",15198,"Cocoa","Brevard County"
"33129",15184,"Miami","Miami-Dade County"
"32963",15117,"Vero Beach","Indian River County"
"34475",15084,"Ocala","Marion County"
"32011",15006,"Callahan","Nassau County"
"33412",15001,"West Palm Beach","Palm Beach County"
"33616",14918,"Tampa","Hillsborough County"
"33478",14845,"Jupiter","Palm Beach County"
"32413",14820,"Panama City Beach","Bay County"
"34239",14812,"Sarasota","Sarasota County"
"32801",14778,"Orlando","Orange County"
"34235",14760,"Sarasota","Sarasota County"
"33812",14736,"Lakeland","Polk County"
"32407",14710,"Panama City Beach","Bay County"
"32656",14702,"Keystone Heights","Clay County"
"33149",14639,"Key Biscayne","Miami-Dade County"
"33469",14639,"Jupiter","Martin County"
"32903",14604,"Indialantic","Brevard County"
"33973",14585,"Lehigh Acres","Lee County"
"33765",14578,"Clearwater","Pinellas County"
"32439",14572,"Freeport","Walton County"
"34669",14563,"Hudson","Pasco County"
"33154",14557,"Miami Beach","Miami-Dade County"
"32317",14515,"Tallahassee","Leon County"
"34987",14507,"Port Saint Lucie","St. Lucie County"
"33170",14477,"Miami","Miami-Dade County"
"34288",14412,"North Port","Sarasota County"
"32310",14407,"Tallahassee","Leon County"
"34240",14400,"Sarasota","Sarasota County"
"32254",14338,"Jacksonville","Duval County"
"33981",14330,"Port Charlotte","Charlotte County"
"32063",14289,"Macclenny","Baker County"
"32908",14172,"Palm Bay","Brevard County"
"32219",14145,"Jacksonville","Duval County"
"34222",13975,"Ellenton","Manatee County"
"32425",13970,"Bonifay","Holmes County"
"32696",13915,"Williston","Levy County"
"32176",13882,"Ormond Beach","Volusia County"
"32816",13835,"Orlando","Orange County"
"32931",13762,"Cocoa Beach","Brevard County"
"33403",13698,"West Palm Beach","Palm Beach County"
"34604",13689,"Brooksville","Hernando County"
"33873",13678,"Wauchula","Hardee County"
"33815",13644,"Lakeland","Polk County"
"33330",13619,"Fort Lauderdale","Broward County"
"34452",13592,"Inverness","Citrus County"
"33019",13503,"Hollywood","Broward County"
"34479",13502,"Ocala","Marion County"
"33868",13404,"Polk City","Polk County"
"34236",13347,"Sarasota","Sarasota County"
"33776",13304,"Seminole","Pinellas County"
"33037",13265,"Key Largo","Monroe County"
"33315",13253,"Fort Lauderdale","Broward County"
"33182",13163,"Miami","Miami-Dade County"
"33980",13071,"Punta Gorda","Charlotte County"
"34432",13029,"Dunnellon","Marion County"
"34947",12992,"Fort Pierce","St. Lucie County"
"32569",12936,"Mary Esther","Okaloosa County"
"33513",12882,"Bushnell","Sumter County"
"32348",12827,"Perry","Taylor County"
"33872",12696,"Sebring","Highlands County"
"33483",12639,"Delray Beach","Palm Beach County"
"33305",12633,"Fort Lauderdale","Broward County"
"32054",12598,"Lake Butler","Union County"
"33567",12499,"Plant City","Hillsborough County"
"34461",12424,"Lecanto","Citrus County"
"32344",12335,"Monticello","Jefferson County"
"33853",12241,"Lake Wales","Polk County"
"32220",12078,"Jacksonville","Duval County"
"32736",11925,"Eustis","Lake County"
"34731",11911,"Fruitland Park","Lake County"
"34690",11876,"Holiday","Pasco County"
"33332",11809,"Fort Lauderdale","Broward County"
"32333",11688,"Havana","Gadsden County"
"34488",11687,"Silver Springs","Marion County"
"32776",11681,"Sorrento","Lake County"
"32643",11590,"High Springs","Alachua County"
"33477",11524,"Jupiter","Palm Beach County"
"32951",11516,"Melbourne Beach","Brevard County"
"32693",11426,"Trenton","Gilchrist County"
"32754",11399,"Mims","Brevard County"
"33316",11304,"Fort Lauderdale","Broward County"
"33592",11275,"Thonotosassa","Hillsborough County"
"33966",11236,"Fort Myers","Lee County"
"34103",11214,"Naples","Collier County"
"33875",11129,"Sebring","Highlands County"
"33473",11107,"Boynton Beach","Palm Beach County"
"33859",11081,"Lake Wales","Polk County"
"33982",11067,"Punta Gorda","Charlotte County"
"32046",11042,"Hilliard","Nassau County"
"32833",10995,"Orlando","Orange County"
"32820",10927,"Orlando","Orange County"
"32148",10923,"Interlachen","Putnam County"
"32501",10908,"Pensacola","Escambia County"
"33480",10853,"Palm Beach","Palm Beach County"
"33843",10790,"Frostproof","Polk County"
"34637",10784,"Land O'Lakes","Pasco County"
"34102",10767,"Naples","Collier County"
"34996",10755,"Stuart","Martin County"
"32446",10676,"Marianna","Jackson County"
"32680",10622,"Old Town","Dixie County"
"34448",10607,"Homosassa","Citrus County"
"32579",10596,"Shalimar","Okaloosa County"
"32784",10545,"Umatilla","Marion County"
"33050",10520,"Marathon","Monroe County"
"32409",10518,"Panama City","Bay County"
"33955",10397,"Punta Gorda","Charlotte County"
"33954",10393,"Port Charlotte","Charlotte County"
"32169",10383,"New Smyrna Beach","Volusia County"
"32640",10360,"Hawthorne","Alachua County"
"33540",10282,"Zephyrhills","Pasco County"
"32340",10213,"Madison","Madison County"
"32038",10208,"Fort White","Columbia County"
"34453",10108,"Inverness","Citrus County"
"34450",10005,"Inverness","Citrus County"
"34434",9981,"Dunnellon","Citrus County"
"32920",9961,"Cape Canaveral","Brevard County"
"33947",9927,"Rotonda West","Charlotte County"
"34956",9531,"Indiantown","Martin County"
"32814",9500,"Orlando","Orange County"
"32561",9495,"Gulf Breeze","Escambia County"
"34429",9448,"Crystal River","Citrus County"
"32110",9424,"Bunnell","Flagler County"
"32976",9310,"Sebastian","Brevard County"
"33449",9301,"Lake Worth","Palm Beach County"
"34428",9175,"Crystal River","Citrus County"
"33931",9150,"Fort Myers Beach","Lee County"
